frame,id,u,v
1,0,163,132
2,0,163,132
3,0,163,131
3,1,328,296
4,0,163,132
4,1,328,296
5,0,163,131
5,1,328,297
6,0,163,132
6,1,328,297
7,0,163,132
7,1,328,297
8,0,163,132
8,1,328,297
9,0,163,132
9,1,328,297
10,0,163,132
10,1,328,297
11,0,163,132
11,1,328,297
12,0,163,132
12,1,328,297
13,0,163,132
13,1,328,297
14,0,163,132
14,1,328,297
15,0,163,132
15,1,328,297
16,0,161,132
16,1,328,297
17,0,161,135
17,1,328,297
18,0,161,135
18,1,328,297
19,0,163,135
19,1,328,297
20,0,163,134
20,1,328,297
21,0,161,135
21,1,328,297
22,0,161,135
22,1,328,297
23,0,163,135
23,1,328,297
24,0,161,137
24,1,328,297
25,0,159,136
25,1,330,299
26,0,159,136
26,1,330,299
27,0,159,136
27,1,330,299
28,0,159,136
28,1,330,299
29,0,159,136
29,1,330,299
30,0,159,136
30,1,330,299
31,0,159,136
31,1,330,299
32,0,159,136
32,1,330,299
33,0,159,136
33,1,332,299
34,0,159,136
34,1,330,300
35,0,161,136
35,1,330,300
36,0,161,135
36,1,328,300
37,0,161,136
37,1,328,300
38,0,161,136
38,1,328,300
39,0,161,136
39,1,328,300
40,0,161,135
40,1,328,300
41,0,161,135
41,1,328,300
42,0,161,135
42,1,330,300
43,0,159,136
43,1,330,300
44,0,159,136
44,1,330,300
45,0,159,136
45,1,330,300
46,0,159,136
46,1,330,300
47,0,159,136
47,1,330,300
48,0,159,131
48,1,330,300
49,0,159,131
49,1,330,300
50,0,159,131
50,1,330,300
51,0,159,131
51,1,330,300
52,0,159,131
52,1,330,300
53,0,159,131
53,1,330,300
54,0,159,131
54,1,330,300
55,0,159,131
55,1,330,302
56,0,159,131
56,1,330,302
57,0,159,131
57,1,330,302
58,0,158,131
58,1,328,302
59,0,158,131
59,1,328,302
60,0,158,131
60,1,328,302
61,0,158,131
61,1,328,302
62,0,158,131
62,1,328,302
63,0,158,131
63,1,328,302
64,0,158,130
64,1,328,302
65,0,158,131
65,1,328,302
66,0,158,130
66,1,328,302
67,0,158,131
67,1,327,303
68,0,159,131
68,1,327,303
69,0,159,131
69,1,327,303
70,0,159,131
70,1,327,303
71,0,159,131
71,1,327,303
72,0,159,131
72,1,327,303
73,0,159,131
73,1,327,303
74,0,159,131
74,1,327,303
75,0,159,131
75,1,327,303
76,0,159,131
76,1,327,303
77,0,159,131
77,1,327,303
78,0,161,131
78,1,327,303
79,0,161,131
79,1,327,303
80,0,161,131
80,1,327,303
81,0,163,131
81,1,327,303
82,0,163,131
82,1,327,303
83,0,163,131
83,1,327,303
84,0,163,131
84,1,327,303
85,0,163,131
85,1,327,303
86,0,163,131
86,1,327,303
87,0,163,131
87,1,327,303
88,0,163,131
88,1,327,303
89,0,163,131
89,1,327,303
90,0,163,131
90,1,327,303
91,0,163,129
91,1,327,303
92,0,163,129
92,1,327,303
93,0,163,129
93,1,327,303
94,0,163,129
94,1,327,303
95,0,163,129
95,1,327,303
96,0,163,129
96,1,327,303
97,0,165,129
97,1,327,303
98,0,163,129
99,0,163,129
100,0,161,129
101,0,161,129
102,0,161,129
103,0,161,129
104,0,161,129
105,0,161,129
106,0,161,129
107,0,161,129
108,0,161,129
109,0,159,131
110,0,159,131
111,0,159,131
112,0,159,131
113,0,159,131
114,0,159,131
115,0,159,131
116,0,161,136
117,0,161,136
118,0,161,136
119,0,161,136
120,0,161,136
121,0,161,136
122,0,161,136
123,0,161,136
124,0,161,136
125,0,161,136
126,0,161,136
127,0,163,138
128,0,163,138
129,0,163,138
130,0,163,138
131,0,161,138
132,0,163,138
133,0,161,140
134,0,161,138
135,0,163,138
136,0,161,140
137,0,161,140
138,0,161,140
139,0,163,138
140,0,161,138
141,0,161,138
142,0,163,138
143,0,163,138
144,0,163,138
145,0,163,138
146,0,163,138
147,0,163,138
148,0,161,138
149,0,163,138
150,0,163,138
151,0,163,138
152,0,163,138
153,0,163,138
154,0,163,138
155,0,163,138
156,0,161,138
157,0,161,140
158,0,161,138
159,0,161,140
160,0,161,138
161,0,161,138
162,0,161,138
163,0,161,138
164,0,161,138
165,0,161,143
166,0,161,143
167,0,161,143
168,0,161,143
169,0,161,143
170,0,161,143
171,0,161,143
172,0,161,143
173,0,161,143
174,0,161,143
175,0,161,143
176,0,165,144
177,0,165,144
178,0,165,144
179,0,165,144
180,0,165,144
181,0,165,146
182,0,165,146
183,0,165,146
184,0,165,146
185,0,165,144
186,0,165,144
187,0,165,146
188,0,166,144
189,0,166,144
190,0,166,144
191,0,166,144
192,0,166,144
193,0,166,144
194,0,166,144
195,0,166,144
196,0,166,144
197,0,166,144
198,0,166,144
199,0,165,144
200,0,165,144
201,0,165,144
202,0,165,144
203,0,165,144
204,0,165,144
205,0,165,144
206,0,165,144
207,0,165,144
208,0,165,144
209,0,165,144
210,0,165,144
211,0,165,144
212,0,165,144
213,0,165,144
214,0,165,144
215,0,165,144
216,0,165,144
217,0,165,144
218,0,165,144
219,0,165,144
220,0,165,144
221,0,165,144
222,0,165,144
223,0,165,144
224,0,165,144
225,0,165,144
226,0,165,144
227,0,165,144
228,0,165,144
229,0,165,144
230,0,165,144
246,0,159,152
247,0,159,152
248,0,159,152
249,0,159,152
250,0,159,152
251,0,159,152
252,0,159,152
253,0,159,152
254,0,159,152
255,0,159,152
256,0,159,152
257,0,159,152
258,0,159,152
259,0,159,152
260,0,159,152
261,0,159,152
262,0,159,152
263,0,159,152
264,0,159,152
265,0,159,152
266,0,159,152
267,0,159,152
268,0,159,152
269,0,159,152
270,0,159,152
271,0,159,152
272,0,159,152
273,0,159,152
274,0,159,152
275,0,159,152
276,0,163,157
277,0,163,157
278,0,163,157
279,0,163,157
280,0,163,157
281,0,163,157
282,0,163,157
283,0,163,157
284,0,163,157
285,0,163,157
286,0,163,157
287,0,163,157
288,0,163,157
289,0,163,157
290,0,163,157
291,0,163,157
292,0,163,157
293,0,163,157
294,0,163,157
295,0,163,157
296,0,163,157
297,0,163,157
298,0,163,157
299,0,163,157
300,0,163,157
